Country,Year,Dis_Aff,Dis_Ded,Dis_Inj,Dis_Hom,Dis_Total,Dis_Recon,Dis_InsdDmg,Dis_TotEconDmg,Dis_Ded%,Dis_Inj%,Dis_Aff/100k,Refugees
Africa,1900,0.0,1111.7,0.0,0.0,0.0,,,,0.841394126,0.0,0.0,
Africa,1910,3200.0,8501.2,0.0,0.0,3200.0,,,,5.989141316,0.0,2.254417284,
Africa,1920,0.0,2701.2,0.0,0.0,0.0,,,,1.735229295,0.0,0.0,
Africa,1930,0.0,2.2,13.0,750.0,763.0,,,,0.001170074,0.006914071,0.0,
Africa,1940,0.0,5044.1,0.0,0.0,0.0,,,,2.456624243,0.0,0.0,
Africa,1950,0.0,216.2,502.8,12925.0,13427.8,,,,0.088714697,0.203283229,0.0,
Africa,1960,1064906.5,1643.0,2736.9,6204.1,1073847.5,0.0,0.0,78044.0,0.560821603,0.954565165,310.4905076,150000.0
Africa,1970,2806919.0,12095.7,171.8,31248.2,2838339.0,0.0,0.0,145707.0,3.075286972,0.038620343,664.9013438,974710.0
Africa,1980,9068311.2,56252.9,1270.5,238514.3,9308096.0,0.0,30100.0,760727.6,10.96245909,0.254135415,1729.395594,4174867.0
Africa,1990,10308199.2,991.8,3402.7,299935.3,10611537.2,1400.0,11780.0,517741.5,0.137131805,0.478971544,1452.48547,5754354.0
Africa,2000,14556934.3,1422.9,2471.7,250118.5,14809524.5,13363.2,6950.0,989014.1,0.160109901,0.277999751,1590.334617,3786083.0
Africa,2010,16760448.6,3283.3,2118.8,102625.6,16865193.0,39310.0,83100.0,1234165.1,0.300575285,0.174622367,1453.245803,2831214.0
