Year,Refugees
1960,150000.0
1961,302000.0
1962,322000.0
1963,353000.0
1964,490000.0
1965,579600.0
1966,736870.0
1967,833310.0
1968,974870.0
1969,936970.0
1970,974710.0
1971,976610.0
1972,1072190.0
1973,987250.0
1974,1080740.0
1975,1486910.0
1976,1661980.0
1977,2015420.0
1978,2327580.0
1979,3076240.0
1980,4174867.0
1981,2945276.0
1982,2851933.0
1983,2785526.0
1984,3379173.0
1985,3633666.0
1986,3426616.0
1987,3815351.0
1988,4426114.0
1989,4652488.0
1990,5754354.0
1991,5174185.0
1992,5431755.0
1993,6324345.0
1994,6769956.0
1995,5648522.0
1996,4377316.0
1997,3555745.0
1998,3427156.0
1999,3631934.0
2000,3786083.0
2001,3480920.0
2002,3547851.0
2003,3334967.0
2004,3243486.0
2005,3123249.0
2006,3065604.0
2007,2773922.0
2008,2651267.0
2009,2688084.0
2010,2831214.0
2011,3397748.0
2012,3564608.0
2013,3723753.0
2014,4509975.0
2015,5261142.0
2016,6044744.0
2017,7257977.0
2018,7296897.0
2019,7342807.0
2020,7476112.0
2021,7881798.0
2022,7945331.0
2023,8137283.0
