Country,Year,Dis_Aff,Dis_Ded,Dis_Inj,Dis_Hom,Dis_Total,Dis_Recon,Dis_InsdDmg,Dis_TotEconDmg,Dis_Ded%,Dis_Inj%,Dis_Aff/100k,Year,Refugees,Dis_Total_Rounded,Refugees_Rounded
Africa,1960.0,1064906.5,1643.0,2736.9,6204.1,1073847.5,0.0,0.0,78044.0,0.560821603,0.954565165,310.4905076,1960,150000.0,1.0738,0.15
Africa,1970.0,2806919.0,12095.7,171.8,31248.2,2838339.0,0.0,0.0,145707.0,3.075286972,0.038620343,664.9013438,1961,302000.0,2.8383,0.302
Africa,1980.0,9068311.2,56252.9,1270.5,238514.3,9308096.0,0.0,30100.0,760727.6,10.96245909,0.254135415,1729.395594,1962,322000.0,9.3081,0.322
Africa,1990.0,10308199.2,991.8,3402.7,299935.3,10611537.2,1400.0,11780.0,517741.5,0.137131805,0.478971544,1452.48547,1963,353000.0,10.6115,0.353
Africa,2000.0,14556934.3,1422.9,2471.7,250118.5,14809524.5,13363.2,6950.0,989014.1,0.160109901,0.277999751,1590.334617,1964,490000.0,14.8095,0.49
Africa,2010.0,16760448.6,3283.3,2118.8,102625.6,16865193.0,39310.0,83100.0,1234165.1,0.300575285,0.174622367,1453.245803,1965,579600.0,16.8652,0.5796
,,,,,,,,,,,,,1966,736870.0,,0.7369
,,,,,,,,,,,,,1967,833310.0,,0.8333
,,,,,,,,,,,,,1968,974870.0,,0.9749
,,,,,,,,,,,,,1969,936970.0,,0.937
,,,,,,,,,,,,,1970,974710.0,,0.9747
,,,,,,,,,,,,,1971,976610.0,,0.9766
,,,,,,,,,,,,,1972,1072190.0,,1.0722
,,,,,,,,,,,,,1973,987250.0,,0.9872
,,,,,,,,,,,,,1974,1080740.0,,1.0807
,,,,,,,,,,,,,1975,1486910.0,,1.4869
,,,,,,,,,,,,,1976,1661980.0,,1.662
,,,,,,,,,,,,,1977,2015420.0,,2.0154
,,,,,,,,,,,,,1978,2327580.0,,2.3276
,,,,,,,,,,,,,1979,3076240.0,,3.0762
,,,,,,,,,,,,,1980,4174867.0,,4.1749
,,,,,,,,,,,,,1981,2945276.0,,2.9453
,,,,,,,,,,,,,1982,2851933.0,,2.8519
,,,,,,,,,,,,,1983,2785526.0,,2.7855
,,,,,,,,,,,,,1984,3379173.0,,3.3792
,,,,,,,,,,,,,1985,3633666.0,,3.6337
,,,,,,,,,,,,,1986,3426616.0,,3.4266
,,,,,,,,,,,,,1987,3815351.0,,3.8154
,,,,,,,,,,,,,1988,4426114.0,,4.4261
,,,,,,,,,,,,,1989,4652488.0,,4.6525
,,,,,,,,,,,,,1990,5754354.0,,5.7544
,,,,,,,,,,,,,1991,5174185.0,,5.1742
,,,,,,,,,,,,,1992,5431755.0,,5.4318
,,,,,,,,,,,,,1993,6324345.0,,6.3243
,,,,,,,,,,,,,1994,6769956.0,,6.77
,,,,,,,,,,,,,1995,5648522.0,,5.6485
,,,,,,,,,,,,,1996,4377316.0,,4.3773
,,,,,,,,,,,,,1997,3555745.0,,3.5557
,,,,,,,,,,,,,1998,3427156.0,,3.4272
,,,,,,,,,,,,,1999,3631934.0,,3.6319
,,,,,,,,,,,,,2000,3786083.0,,3.7861
,,,,,,,,,,,,,2001,3480920.0,,3.4809
,,,,,,,,,,,,,2002,3547851.0,,3.5479
,,,,,,,,,,,,,2003,3334967.0,,3.335
,,,,,,,,,,,,,2004,3243486.0,,3.2435
,,,,,,,,,,,,,2005,3123249.0,,3.1232
,,,,,,,,,,,,,2006,3065604.0,,3.0656
,,,,,,,,,,,,,2007,2773922.0,,2.7739
,,,,,,,,,,,,,2008,2651267.0,,2.6513
,,,,,,,,,,,,,2009,2688084.0,,2.6881
,,,,,,,,,,,,,2010,2831214.0,,2.8312
,,,,,,,,,,,,,2011,3397748.0,,3.3977
,,,,,,,,,,,,,2012,3564608.0,,3.5646
,,,,,,,,,,,,,2013,3723753.0,,3.7238
,,,,,,,,,,,,,2014,4509975.0,,4.51
,,,,,,,,,,,,,2015,5261142.0,,5.2611
,,,,,,,,,,,,,2016,6044744.0,,6.0447
,,,,,,,,,,,,,2017,7257977.0,,7.258
,,,,,,,,,,,,,2018,7296897.0,,7.2969
,,,,,,,,,,,,,2019,7342807.0,,7.3428
,,,,,,,,,,,,,2020,7476112.0,,7.4761
,,,,,,,,,,,,,2021,7881798.0,,7.8818
,,,,,,,,,,,,,2022,7945331.0,,7.9453
,,,,,,,,,,,,,2023,8137283.0,,8.1373
