,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp_Total,Att_Total,Cmp%_Total,TotDist,PrgDist,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Touches,T_Def Pen,T_Def 3rd,T_Mid 3rd,T_Att 3rd,T_Att Pen,T_Live,Drib_Att,Drib_Succ,Drib_Succ%,Drib_Tkld,Drib_Tkld%,Carries,Carry_TotDist,Carry_PrgDist,Carry_PrgNum,Carry_1/3,Carry_PA,Carry_Miscon,Carry_Dispos,Rec,Rec_Prg,D_Tkl,D_TklW,Tkl_Def 3rd,Tkl_Mid 3rd,Tkl_Att 3rd,Chal_Tkl,Chal_Att,Chal_Tkl%,Chal_Lost,Blocks,B_Sh,B_Pass,Int,Tkl+Int,Clr,Err
1313,Yassine Kechta,MAR,MF,Le Havre,Ligue 1,21.0,2002.0,20.5,2,20,9,45.0,0.97,0.44,0.1,0.22,22.5,0,0,0,1.6,1.6,0.08,0.4,0.4,778,960,81.0,13063,3630,347,393,88.3,333,387,86.0,63,116,54.3,1,2.2,1.4,-1.2,27,87,11,0,122,47,2.29,39,2,0,2,4,0,2,0.1,1,0,0,1,0,0,1180,32,226,667,305,27,1180,35,10,28.6,22,62.9,904,4854,2233,41,42,7,24,19,838,67,46,24,24,19,3,31,73,42.5,42,20,3,17,23,69,16,1
1316,Habib Keita,MLI,MF,Clermont Foot,Ligue 1,21.0,2002.0,14.2,1,20,5,25.0,1.41,0.35,0.05,0.2,25.2,0,0,0,0.7,0.7,0.03,0.3,0.3,591,675,87.6,11080,2447,253,287,88.2,253,278,91.0,74,89,83.1,0,0.6,0.6,-0.6,10,45,7,0,53,28,1.97,24,0,1,2,1,0,1,0.07,1,0,0,0,0,0,878,53,215,509,159,7,878,24,14,58.3,10,41.7,629,3404,1402,9,21,3,23,15,579,23,34,19,14,15,5,17,28,60.7,11,27,10,17,29,63,30,0
1330,Abdukodir Khusanov,UZB,DF,Lens,Ligue 1,19.0,2004.0,9.0,0,5,2,40.0,0.56,0.22,0.0,0.0,18.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,383,439,87.2,7213,2415,140,152,92.1,203,219,92.7,36,59,61.0,0,0.1,0.2,-0.1,1,28,1,0,23,6,0.67,3,0,0,0,1,2,0,0.0,0,0,0,0,0,0,535,61,275,234,29,3,535,2,1,50.0,1,50.0,388,1981,757,5,4,0,6,0,349,1,21,12,13,8,0,9,17,52.9,8,13,8,5,13,34,32,2
1354,Cheick Konaté,MLI,DF,Clermont Foot,Ligue 1,19.0,2004.0,11.9,1,14,4,28.6,1.18,0.34,0.07,0.25,20.3,0,0,0,0.5,0.5,0.04,0.5,0.5,319,484,65.9,5214,1779,162,210,77.1,125,175,71.4,24,70,34.3,1,1.6,1.3,-0.6,16,27,13,6,37,29,2.44,25,0,3,1,0,0,2,0.17,2,0,0,0,0,0,631,34,128,310,202,20,631,43,22,51.2,20,46.5,412,2487,1113,22,19,8,19,13,375,86,26,15,17,9,0,20,36,55.6,16,16,2,14,13,39,21,0
1511,Dion Lopy,SEN,MF,Almería,La Liga,21.0,2002.0,21.3,0,23,8,34.8,1.08,0.38,0.0,0.0,26.2,0,0,0,1.3,1.3,0.06,-1.3,-1.3,745,882,84.5,14551,3507,276,316,87.3,340,384,88.5,110,137,80.3,0,1.2,0.7,-1.2,13,81,8,1,90,45,2.11,34,0,4,1,5,1,3,0.14,3,0,0,0,0,0,1108,65,310,656,162,8,1108,48,29,60.4,15,31.3,652,4181,1705,23,23,2,23,15,695,19,62,37,36,20,6,17,44,38.6,27,23,5,18,15,77,22,2
1539,Zito Luvumbo,ANG,"FW,MF",Cagliari,Serie A,21.0,2002.0,21.6,4,51,16,31.4,2.36,0.74,0.08,0.25,17.3,0,0,0,4.0,4.0,0.08,0.0,0.0,246,388,63.4,3858,869,122,151,80.8,98,147,66.7,14,41,34.1,5,3.1,2.7,1.9,26,11,21,19,21,65,3.01,39,1,10,4,11,0,7,0.32,6,0,0,0,1,0,646,2,50,186,427,123,646,86,30,34.9,40,46.5,463,3510,1983,85,43,45,69,47,499,181,9,6,5,2,2,4,15,26.7,11,19,0,19,1,10,2,0
1654,Pape Matar Sarr,SEN,MF,Tottenham,Premier League,20.0,2002.0,23.0,3,36,13,36.1,1.57,0.57,0.08,0.23,17.6,0,0,0,3.4,3.4,0.1,-0.4,-0.4,1179,1349,87.4,17118,4177,662,718,92.2,402,453,88.7,52,77,67.5,3,2.2,2.1,0.8,20,108,23,4,150,52,2.26,43,0,0,3,2,4,7,0.3,6,0,0,1,0,0,1582,64,283,830,486,44,1582,38,19,50.0,17,44.7,1041,5912,2263,43,58,3,37,15,1197,90,34,24,11,17,6,15,36,41.7,21,21,5,16,31,65,28,1
1838,Murillo,BRA,DF,Nott'ham Forest,Premier League,21.0,2002.0,31.0,0,17,6,35.3,0.55,0.19,0.0,0.0,22.6,2,0,0,1.8,1.8,0.11,-1.8,-1.8,1123,1460,76.9,22984,10571,387,440,88.0,572,657,87.1,154,326,47.2,2,1.2,0.6,0.8,7,101,11,0,89,30,0.97,20,1,5,3,1,0,4,0.13,2,1,0,0,1,0,1850,359,1045,731,94,30,1850,35,20,57.1,15,42.9,985,5473,3400,22,14,3,20,15,1091,7,50,31,36,13,1,19,33,57.6,14,41,24,17,37,87,188,0
1842,Yunus Musah,USA,"MF,FW",Milan,Serie A,20.0,2002.0,16.4,0,14,5,35.7,0.85,0.3,0.0,0.0,20.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6,566,666,85.0,8391,2146,324,352,92.0,200,232,86.2,27,41,65.9,2,1.2,0.7,0.8,14,45,15,4,64,38,2.32,27,0,5,4,1,1,2,0.12,2,0,0,0,0,0,831,27,173,383,291,20,831,47,22,46.8,20,42.6,520,3554,2034,48,39,6,32,15,580,77,25,14,15,6,4,8,15,53.3,7,18,4,14,10,35,16,1
1916,Ernest Nuamah,GHA,"FW,MF",Lyon,Ligue 1,19.0,2003.0,20.4,3,43,20,46.5,2.11,0.98,0.07,0.15,18.0,3,0,0,4.0,4.0,0.09,-1.0,-1.0,535,692,77.3,8568,1884,273,319,85.6,193,246,78.5,44,75,58.7,2,3.8,5.2,-1.8,29,30,31,5,74,73,3.58,47,6,8,7,5,0,6,0.29,4,1,0,1,0,0,983,27,128,324,561,108,983,122,51,41.8,63,51.6,753,6375,2990,105,66,38,68,31,722,237,28,14,18,6,4,12,38,31.6,26,15,1,14,8,36,9,0
1998,Dango Ouattara,BFA,"FW,DF",Bournemouth,Premier League,21.0,2002.0,13.7,1,30,7,23.3,2.2,0.51,0.03,0.14,15.2,0,0,0,2.6,2.6,0.09,-1.6,-1.6,371,558,66.5,5941,1943,190,255,74.5,147,201,73.1,25,57,43.9,2,1.5,1.4,0.5,17,25,11,5,35,45,3.3,34,1,4,2,1,3,3,0.22,3,0,0,0,0,0,783,37,210,273,317,69,783,47,21,44.7,20,42.6,365,2597,1409,47,24,18,23,12,405,90,45,27,22,11,12,19,34,55.9,15,18,3,15,22,67,35,0
2013,Willian Pacho,ECU,DF,Eint Frankfurt,Bundesliga,21.0,2001.0,33.0,0,10,2,20.0,0.3,0.06,0.0,0.0,16.3,0,0,0,1.2,1.2,0.12,-1.2,-1.2,1930,2286,84.4,35292,13419,677,748,90.5,1097,1195,91.8,135,280,48.2,3,1.1,1.6,1.9,6,137,10,2,148,30,0.91,26,0,0,2,1,1,5,0.15,5,0,0,0,0,0,2663,312,1324,1287,65,16,2663,14,12,85.7,2,14.3,1637,7792,3873,22,11,0,23,7,1762,4,62,37,38,23,1,31,53,58.5,22,51,22,29,47,109,152,2
2035,Kevin Paredes,USA,"FW,MF",Wolfsburg,Bundesliga,20.0,2003.0,15.9,3,19,7,36.8,1.19,0.44,0.16,0.43,16.7,0,0,0,3.0,3.0,0.16,0.0,0.0,455,592,76.9,6756,2043,260,301,86.4,148,191,77.5,27,52,51.9,0,1.4,1.9,-1.4,17,29,17,5,50,46,2.89,35,0,4,2,5,0,5,0.31,5,0,0,0,0,0,809,24,180,325,311,35,809,40,14,35.0,19,47.5,478,2330,1043,34,24,8,34,17,527,112,42,21,22,13,7,20,34,58.8,14,27,2,25,23,65,26,0
2074,Facundo Pellistri,URU,"MF,FW",Granada,La Liga,21.0,2001.0,13.7,2,17,6,35.3,1.24,0.44,0.12,0.33,14.5,0,0,0,2.5,2.5,0.14,-0.5,-0.5,213,305,69.8,2770,661,131,159,82.4,63,87,72.4,6,12,50.0,1,1.2,1.1,-0.2,18,3,14,5,22,42,3.12,30,2,1,4,5,0,6,0.45,4,0,0,1,1,0,460,9,66,150,260,50,460,28,12,42.9,14,50.0,271,2127,1015,33,14,13,42,20,281,96,29,19,12,10,7,6,21,28.6,15,18,0,18,4,33,7,0
2101,Máximo Perrone,ARG,MF,Las Palmas,La Liga,20.0,2003.0,18.0,0,7,3,42.9,0.39,0.17,0.0,0.0,23.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,1181,1311,90.1,16988,5059,678,728,93.1,424,464,91.4,37,55,67.3,0,0.5,1.2,-0.5,9,97,8,0,78,29,1.61,28,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1492,54,457,901,144,8,1492,24,11,45.8,11,45.8,759,2885,1239,12,11,2,23,14,1141,22,42,21,17,22,3,19,39,48.7,20,27,4,23,24,66,21,0
2209,Reinier,BRA,"MF,FW",Frosinone,Serie A,21.0,2002.0,11.8,2,14,6,42.9,1.19,0.51,0.14,0.33,16.3,0,0,0,1.3,1.3,0.09,0.7,0.7,318,401,79.3,4584,1095,192,220,87.3,103,134,76.9,13,19,68.4,2,1.9,0.7,0.1,16,27,15,2,32,34,2.89,31,3,0,0,0,0,5,0.42,5,0,0,0,0,0,528,10,67,256,211,33,528,18,9,50.0,8,44.4,269,1249,524,10,7,1,22,15,348,42,21,10,6,12,3,5,17,29.4,12,24,4,20,10,31,5,0
2218,Chadi Riad,MAR,DF,Betis,La Liga,20.0,2003.0,24.0,0,11,5,45.5,0.46,0.21,0.0,0.0,11.1,0,0,0,0.7,0.7,0.07,-0.7,-0.7,1074,1198,89.6,19044,5584,423,451,93.8,568,600,94.7,62,111,55.9,0,0.2,0.2,-0.2,2,20,0,0,34,12,0.5,9,1,0,2,0,0,0,0.0,0,0,0,0,0,0,1426,194,871,532,27,15,1426,0,0,0.0,0,0.0,831,3955,1926,4,7,0,9,2,937,1,35,24,17,18,0,17,27,63.0,10,23,14,9,23,58,108,0
2224,Amir Richardson,MAR,MF,Reims,Ligue 1,21.0,2002.0,15.0,3,17,8,47.1,1.13,0.53,0.18,0.38,18.8,0,0,0,1.6,1.6,0.1,1.4,1.4,534,651,82.0,9313,1944,235,281,83.6,245,284,86.3,46,65,70.8,1,1.1,1.4,-0.1,12,51,7,2,72,29,1.93,24,0,0,4,0,1,1,0.07,1,0,0,0,0,0,855,45,166,487,214,20,855,26,8,30.8,18,69.2,593,3703,1511,28,28,3,23,21,563,40,33,23,12,18,3,10,22,45.5,12,26,5,21,15,48,30,0
2345,Sadibou Sané,SEN,DF,Metz,Ligue 1,19.0,2004.0,9.4,0,5,0,0.0,0.53,0.0,0.0,0.0,14.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,254,317,80.1,5406,1557,69,82,84.1,140,161,87.0,43,68,63.2,0,0.0,0.1,0.0,1,10,2,2,19,5,0.53,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0,441,79,239,171,34,9,441,3,3,100.0,0,0.0,248,1652,829,8,3,1,4,0,224,8,19,12,16,2,1,6,7,85.7,1,14,9,5,8,27,64,0
2346,Arouna Sangante,SEN,DF,Le Havre,Ligue 1,21.0,2002.0,29.9,0,16,3,18.8,0.54,0.1,0.0,0.0,15.2,0,0,0,0.9,0.9,0.06,-0.9,-0.9,1233,1521,81.1,24085,9176,453,525,86.3,586,667,87.9,166,270,61.5,0,1.2,0.9,-1.2,17,93,9,2,107,39,1.31,28,4,0,0,3,4,4,0.13,2,0,0,0,1,1,1827,193,760,863,224,35,1827,17,11,64.7,4,23.5,1163,6282,2969,20,23,2,19,15,1045,27,53,33,27,23,3,24,40,60.0,16,35,18,17,66,119,93,2
2353,Andrey Santos,BRA,MF,Strasbourg,Ligue 1,19.0,2004.0,9.2,1,12,4,33.3,1.3,0.43,0.08,0.25,22.1,0,0,0,1.0,1.0,0.08,0.0,0.0,444,511,86.9,7717,2017,186,209,89.0,216,235,91.9,32,43,74.4,0,1.0,0.8,-1.0,6,49,3,0,48,19,2.06,14,0,3,1,1,0,0,0.0,0,0,0,0,0,0,614,15,135,398,86,7,614,19,8,42.1,9,47.4,476,2609,1018,5,19,0,12,10,437,15,29,18,15,13,1,17,26,65.4,9,8,0,8,10,39,11,1
2366,Sávio,BRA,"FW,MF",Girona,La Liga,19.0,2004.0,33.1,9,45,20,44.4,1.36,0.6,0.2,0.45,16.6,0,0,0,6.1,6.1,0.13,2.9,2.9,812,1064,76.3,11860,2710,469,529,88.7,265,345,76.8,42,78,53.8,10,7.9,9.9,2.1,52,28,60,14,93,118,3.57,85,1,15,7,10,0,25,0.76,19,0,4,0,2,0,1490,17,169,486,878,158,1490,236,104,44.1,90,38.1,1096,9821,5124,181,93,80,98,49,1136,372,42,25,14,22,6,16,28,57.1,12,34,0,34,18,60,11,1
2369,Joe Scally,USA,DF,Gladbach,Bundesliga,20.0,2002.0,24.8,1,11,1,9.1,0.44,0.04,0.09,1.0,22.0,0,0,0,0.6,0.6,0.05,0.4,0.4,1052,1312,80.2,16405,5910,561,619,90.6,392,477,82.2,67,134,50.0,4,1.4,1.5,2.6,16,38,15,10,75,30,1.21,23,2,0,1,3,1,5,0.2,5,0,0,0,0,0,1581,111,612,707,273,20,1581,33,11,33.3,20,60.6,911,4302,1921,39,33,6,22,21,997,75,41,28,21,17,3,23,40,57.5,17,31,11,20,18,59,78,2
2483,Matìas Soulé,ARG,"FW,MF",Frosinone,Serie A,20.0,2003.0,34.7,11,77,18,23.4,2.22,0.52,0.08,0.33,22.2,7,5,6,10.5,5.7,0.07,0.5,0.3,1197,1535,78.0,18531,5372,654,749,87.3,411,521,78.9,89,163,54.6,3,6.6,5.3,-3.6,82,107,78,12,198,188,5.42,121,25,25,10,4,3,11,0.32,7,2,1,0,0,1,2015,18,194,907,947,102,2009,225,102,45.3,101,44.9,1240,8342,3968,115,117,35,98,77,1478,211,41,27,12,14,15,19,40,47.5,21,38,4,34,18,59,9,0
2523,Ibrahim Sulemana,GHA,MF,Cagliari,Serie A,20.0,2003.0,14.9,2,13,3,23.1,0.87,0.2,0.15,0.67,23.2,0,0,0,0.8,0.8,0.06,1.2,1.2,361,452,79.9,6464,1260,163,184,88.6,151,172,87.8,42,72,58.3,0,0.1,0.2,-0.1,4,30,2,2,27,20,1.34,17,0,1,1,1,0,1,0.07,1,0,0,0,0,0,617,32,175,338,115,7,617,18,9,50.0,8,44.4,302,1710,691,15,9,1,18,16,330,14,36,14,15,15,6,17,27,63.0,10,24,5,19,7,43,23,0
2531,Abakar Sylla,CIV,DF,Strasbourg,Ligue 1,20.0,2002.0,19.9,2,11,5,45.5,0.55,0.25,0.18,0.4,14.6,0,0,0,1.6,1.6,0.14,0.4,0.4,1111,1266,87.8,19769,6698,436,473,92.2,567,618,91.7,81,139,58.3,0,0.5,0.2,-0.5,5,52,4,0,72,14,0.7,12,0,0,0,0,2,1,0.05,0,0,0,0,0,1,1490,201,717,729,56,18,1490,13,9,69.2,4,30.8,1060,5999,3215,8,11,0,14,7,962,2,54,23,30,19,5,29,40,72.5,11,40,11,29,26,80,70,2
2550,Oussama Targhalline,MAR,MF,Le Havre,Ligue 1,21.0,2002.0,11.4,0,6,0,0.0,0.53,0.0,0.0,0.0,28.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,600,704,85.2,9591,3081,301,337,89.3,229,257,89.1,45,67,67.2,0,0.4,0.5,-0.4,8,67,10,3,70,24,2.11,18,0,0,0,3,3,2,0.18,2,0,0,0,0,0,813,30,197,497,135,3,813,16,7,43.8,7,43.8,630,3975,1794,27,32,0,7,5,591,15,23,11,16,7,0,15,25,60.0,10,9,3,6,20,43,14,2
2560,Jackson Tchatchoua,CMR,DF,Hellas Verona,Serie A,21.0,2001.0,19.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,604,799,75.6,9562,3708,324,355,91.3,222,299,74.2,42,102,41.2,2,1.3,1.7,0.7,15,48,22,18,53,33,1.72,27,2,2,0,1,1,2,0.1,2,0,0,0,0,0,956,64,306,462,197,8,956,15,6,40.0,8,53.3,410,2302,1185,34,24,5,9,5,416,66,39,26,25,12,2,23,48,47.9,25,17,7,10,23,62,49,2
2561,Enzo Tchato,CMR,DF,Montpellier,Ligue 1,20.0,2002.0,12.5,0,5,1,20.0,0.4,0.08,0.0,0.0,18.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,478,639,74.8,8024,3281,227,267,85.0,192,244,78.7,44,101,43.6,0,0.3,0.8,-0.3,7,45,15,11,46,18,1.44,13,3,0,0,1,1,0,0.0,0,0,0,0,0,0,741,39,222,332,196,10,741,5,4,80.0,1,20.0,462,2825,1543,26,31,3,9,2,425,57,26,17,18,4,4,11,25,44.0,14,20,7,13,11,37,25,0
2626,Boubacar Traoré,MLI,MF,Wolves,Premier League,21.0,2001.0,9.1,0,11,1,9.1,1.21,0.11,0.0,0.0,27.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,383,455,84.2,5849,1360,207,234,88.5,138,158,87.3,23,34,67.6,0,0.4,0.3,-0.4,6,34,7,3,29,13,1.43,12,0,1,0,0,0,2,0.22,2,0,0,0,0,0,556,17,128,346,89,3,556,15,10,66.7,4,26.7,283,1417,567,9,14,1,13,17,363,15,35,23,16,17,2,9,21,42.9,12,12,2,10,5,40,7,0
2786,Christopher Wooh,CMR,DF,Rennes,Ligue 1,21.0,2001.0,15.4,1,10,2,20.0,0.65,0.13,0.1,0.5,9.0,0,0,0,1.3,1.3,0.14,-0.3,-0.3,675,789,85.6,13895,5198,181,206,87.9,402,438,91.8,80,123,65.0,0,0.7,0.4,-0.7,6,57,3,0,61,14,0.91,10,1,0,2,0,1,0,0.0,0,0,0,0,0,0,931,105,411,492,42,19,931,8,1,12.5,3,37.5,655,4133,2261,8,3,1,10,3,609,4,18,12,12,6,0,8,15,53.3,7,19,9,10,18,36,51,0
